cell,family,symbol,plus_in,n_in,rate_in,p_binom,mean_m_in_pct,cum_in_pct,worst_m_in_pct,plus_oos,n_oos,cum_oos_pct,sig_bonf,sig_005
FriSx3 AUDCAD,FriSx3,AUDCAD,28,48,58,0.15616340373663462,0.24,11.5,-3.34,4,12,-6.69,False,False
TueSx2 EURCHF,TueSx2,EURCHF,28,48,58,0.15616340373663462,0.22,10.9,-2.42,4,12,-0.3,False,False
Tue AUS200,Tue,AUS200,28,48,58,0.15616340373663462,0.22,10.7,-2.53,8,12,1.87,False,False
FriS EURCHF,FriS,EURCHF,28,48,58,0.15616340373663462,0.21,10.6,-0.73,7,12,2.42,False,False
ThuS GBPCHF,ThuS,GBPCHF,28,48,58,0.15616340373663462,0.21,10.1,-1.73,9,12,4.39,False,False
Thux3 GER40,Thux3,GER40,28,48,58,0.15616340373663462,0.19,6.2,-9.98,7,12,2.68,False,False
Tuex2 EURJPY,Tuex2,EURJPY,28,48,58,0.15616340373663462,0.18,8.3,-5.09,9,12,3.73,False,False
MonSx2 NZDUSD,MonSx2,NZDUSD,28,48,58,0.15616340373663462,0.17,7.8,-4.07,7,12,-3.58,False,False
Fri CHFJPY,Fri,CHFJPY,28,48,58,0.15616340373663462,0.16,7.6,-3.54,5,12,0.24,False,False
MonSx3 NZDUSD,MonSx3,NZDUSD,28,48,58,0.15616340373663462,0.14,5.8,-5.67,5,12,-2.7,False,False
Tue CHFJPY,Tue,CHFJPY,28,48,58,0.15616340373663462,0.14,6.6,-3.19,8,12,1.69,False,False
Wedx2 EURCAD,Wedx2,EURCAD,28,48,58,0.15616340373663462,0.14,6.8,-1.87,8,12,-1.6,False,False
FriS AUDNZD,FriS,AUDNZD,28,48,58,0.15616340373663462,0.14,7.1,-1.47,6,12,0.22,False,False
TOMS AUDNZD,TOMS,AUDNZD,28,48,58,0.15616340373663462,0.14,6.6,-1.73,4,11,-4.74,False,False
Frix2 EURAUD,Frix2,EURAUD,28,48,58,0.15616340373663462,0.13,6.0,-2.6,3,12,-6.25,False,False
TOM AUS200,TOM,AUS200,28,48,58,0.15616340373663462,0.13,5.8,-4.3,4,11,0.2,False,False
ThuS NZDUSD,ThuS,NZDUSD,28,48,58,0.15616340373663462,0.12,5.6,-4.53,8,12,2.33,False,False
Wed EURCAD,Wed,EURCAD,28,48,58,0.15616340373663462,0.12,5.7,-1.56,5,12,-2.35,False,False
ThuS EURUSD,ThuS,EURUSD,28,48,58,0.15616340373663462,0.11,4.9,-5.28,7,12,0.59,False,False
FriSx2 EURUSD,FriSx2,EURUSD,28,48,58,0.15616340373663462,0.1,4.6,-2.93,8,12,2.32,False,False
FriSx2 GBPUSD,FriSx2,GBPUSD,28,48,58,0.15616340373663462,0.1,4.0,-4.3,2,12,-3.14,False,False
